date,cpi,var,var_acum
2012-01-01T00:00:00Z,100,0.015,0.015
2012-02-01T00:00:00Z,101.1127596439169,0.011127596439169052,0.026294510385756587
2012-03-01T00:00:00Z,102.00296735905043,0.00880410858400582,0.03533011869436198
2012-04-01T00:00:00Z,102.81899109792283,0.008000000000000007,0.04361275964391664
2012-05-01T00:00:00Z,104.41394658753708,0.015512265512265477,0.05980155786350139
2012-06-01T00:00:00Z,105.89762611275964,0.014209591474245054,0.07486090504451015
2012-07-01T00:00:00Z,106.97329376854599,0.010157618213660236,0.08577893175074158
2012-08-01T00:00:00Z,108.12314540059347,0.010748959778086098,0.09744992581602352
2012-09-01T00:00:00Z,109.82937685459942,0.015780445969125312,0.11476817507418402
2012-10-01T00:00:00Z,111.72106824925814,0.017223910840932,0.13396884272997012
2012-11-01T00:00:00Z,114.28041543026706,0.022908366533864744,0.15994621661721053
2012-12-01T00:00:00Z,118.28635014836793,0.03505355404089561,0.20060645400593446
2013-01-01T00:00:00Z,122.18100890207712,0.03292568203198498,0.03292568203198498
2013-02-01T00:00:00Z,124.18397626112758,0.016393442622950838,0.049858889934148776
2013-03-01T00:00:00Z,127.63353115727003,0.0277777777777779,0.079021636876764
2013-04-01T00:00:00Z,133.0860534124629,0.042720139494333065,0.12511759172154302
2013-05-01T00:00:00Z,141.20919881305636,0.06103678929765888,0.19379115710254013
2013-06-01T00:00:00Z,147.8486646884273,0.04701864985552939,0.2499216055189717
2013-07-01T00:00:00Z,152.5593471810089,0.031861515303562404,0.2897460018814677
2013-08-01T00:00:00Z,157.1587537091988,0.030148310235837528,0.32862966447162134
2013-09-01T00:00:00Z,164.05786350148367,0.043898985130989,0.3869551583568518
2013-10-01T00:00:00Z,172.44065281899108,0.05109654080940529,0.4578237692066478
2013-11-01T00:00:00Z,180.74925816023736,0.048182404818240654,0.5280652242082158
2013-12-01T00:00:00Z,184.75519287833828,0.02216293864149388,0.5619316400125434
